book_id,lec,prof,bk,publisher,author,serial,credit,rating,major,difficulty
1172,반도체화학공정,채희엽,반도체 소자 공정기술,자유아카데미,"Michael Quirk, Julian Serda",ECH3061-41,3,2.54,22,2
1173,재료현대물리,정원국,Concepts of Modern Physics,McGraw-Hill,Beiser,EAM2039-41,3,3.86,21,1
1174,재료현대물리,정원국,Concepts of Modern Physics (Asia Adaptation),McGraw-Hill,Beiser,EAM2039-41,3,3.86,21,1
1175,재료현대물리,정원국,현대물리학(6판),McGraw Hill,"Beiser, Kok Wai Cheah",EAM2039-41,3,3.86,21,1
1176,재료물리화학,이재찬,기본 물리화학,탐구당,Walter JMoore,EAM2046-41,3,3.88,21,1
1177,재료물리화학,황동목,기본 물리 화학,탐구당,Walter J.Moore,EAM2046-41,3,3.88,21,1
1178,결정구조및X-선회절,양철웅,Elements of X Ray Diffraction(3판)(Paperback),PEARSON EDUCATION KOREA,"BD Cullity, SR Stock",EAM2047-41,3,4.31,21,1
1179,결정구조및X-선회절,양철웅,X-ray 결정학,청문각(교문사),허무영,EAM2047-41,3,4.31,21,1
1180,결정구조및X-선회절,양철웅,재료결정학(개정판 2판),청문각(교문사),이정용,EAM2047-41,3,4.31,21,1
1181,신소재공학개론1,주진호,Fundamentals of Materials Science and Engineering,John Wiley & Sons Inc,"William D Callister, David G Rethwisch",EAM2057-41,3,4.72,21,1
